feature,importance
feature_160,5.715860403603905e-07
feature_101,5.554176066664789e-07
feature_105,5.489275177769887e-07
feature_45,5.395148480455325e-07
feature_152,4.737847405747278e-07
feature_43,4.6849071451411716e-07
feature_110,4.348739063912609e-07
feature_117,4.3432857499526775e-07
feature_50,4.119743138074232e-07
feature_148,3.959544067744141e-07
feature_48,3.445854898871452e-07
feature_56,3.4029308089992315e-07
feature_51,3.395084557346211e-07
feature_159,2.825375295827554e-07
feature_52,2.4399101326920277e-07
feature_154,2.3521003199477368e-07
feature_87,2.2954440221643863e-07
feature_88,1.86232126264499e-07
feature_156,1.3413414334908456e-07
feature_100,1.2888642591696427e-07
feature_107,1.2524909189526636e-07
feature_158,1.1539910631833678e-07
feature_97,1.097561346857685e-07
feature_130,9.285118660377751e-08
feature_64,9.235434600164383e-08
feature_92,8.536430182310144e-08
feature_58,8.17510429708132e-08
feature_70,7.66425490157001e-08
feature_118,5.624965155284902e-08
feature_127,5.598325977090981e-08
feature_89,4.8979669668473237e-08
feature_78,4.414020195627855e-08
feature_47,4.1899668097267955e-08
feature_31,3.840765147263349e-08
feature_62,3.740145722405907e-08
feature_155,3.5377176207015815e-08
feature_94,3.092063597305756e-08
feature_119,2.5415324971717713e-08
feature_116,2.373470769866363e-08
feature_49,2.164685527912304e-08
feature_41,2.1621897242124722e-08
feature_136,1.8087059628333925e-08
feature_72,1.7842689889477884e-08
feature_161,1.5640450197260375e-08
feature_99,1.3978570345843088e-08
feature_126,1.3411252192971944e-08
feature_135,1.3208265698141504e-08
feature_132,1.1979073229529214e-08
feature_157,1.1707127168837877e-08
feature_113,1.1351647332413386e-08
feature_90,1.0987969367440306e-08
feature_57,1.036904091871767e-08
feature_93,8.75355470792796e-09
feature_124,8.71703954090697e-09
feature_59,8.696728559492742e-09
feature_129,7.285719369939222e-09
feature_46,7.175933801168646e-09
feature_77,5.727846335059502e-09
feature_86,5.218670380905752e-09
feature_143,4.69650073377195e-09
feature_98,4.5606367542796574e-09
feature_140,3.2131019669765067e-09
feature_32,2.8771269216610803e-09
feature_36,1.6186900971614838e-09
feature_53,1.3359252568751238e-09
feature_66,1.2751207625120256e-09
feature_55,9.645842299473127e-10
feature_112,8.082280269224706e-10
